单词,中文
nothing,pron.没有什么
wait a minute,请稍后
yuan,n.元
tin,n.罐
pizza,n.比萨饼
exchange student,n.交流学生
quiet,adj.安静的
air,n.空气
fresh,adj.新鲜的
local,adj.当地的
jogging,n.慢跑锻炼
underground,n.地铁
famous,adj.出名的
Western,adj.西方的
opera,n.歌剧
theatre,n.剧场
miss,vt.错过
forward,adv.向前
look forward to,期待
soon,adv.很快
postcard,n.明信片
key,n.钥匙
ring,n.环，戒指
key ring,n.钥匙扣
yours,pron.你的，你们的
ours,pron.我们的
theirs,pron.他们的
hers,pron.她的
all over,遍及
pencil case,n.笔盒
golden throne,n.金銮宝座
work,n.作品
work of art,n.艺术作品
painting,n.绘画
row,vt.划船
hotel,n.旅馆
own,vt.拥有
hometown,n.家乡
friendly,adj.友好的
raise,vt.饲养
grow,vt.生长
wheat,n.小麦
smell,vt.嗅
drive,vt.&vi.驾驶
follow,vt.跟随
path,n.小路
have to,不得不
north,n.北
west,n.西方
south,n.南方
east,n.东方
trip,n.旅行
kilometer,(=km) n.<英>千米
everybody,pron.每人
straight,adv.径直地
on,adv.向前移动，开
bamboo,n.竹
all day long,一整天
along,prep.沿着
road,n.路
king,n.国王
remember,vt.记得
that,动词形容词名词后引导从句
dangerous,adj.危险的
sound,n.声音
forest,n.森林
funny,adj.好笑的
laugh,vi.大笑
giraffe,n.长颈鹿
quite,adv.相当
neck,n.脖子
leaf,(pl.leaves) n.树叶
north-east,n.东北方
bridge,n.桥
cross,vt.穿过
cage,n.笼子
across,prep.在...对面
inside,prep.在里面
outside,prep.在外面
above,prep.在上面
below,prep.在下面
sign,n.指示牌
over,prep.在上面
beach,n. 长椅
past,prep.在另一边
treasure,n.宝藏
turning,n.转弯处
traffic,n.交通
traffic lights,n.红绿灯
should,modal v.应该
crossing,n.交叉路口
corner,n.拐角
prepare,vt.准备
prepare ... for ...,为……准备……
plenty,pron.大量
plenty of,大量
exit,n.出口
bank,n.银行
amazing,adj. 令人惊异的
same,adj. 相同的
birth,n. 出生,血统,出身,起源
stop doing sth.,停止做某事
times,n.[复]（用于比较）倍
earth,adj.地球
bone,adj.骨头
back,n.后部，背部
fat,n.脂肪
fact,n.事实
as,adv.和…一样
usual,adj.通常的，平常的
as usual,和往常一样
sit down,坐下
suddenly,adv.突然
whisper,n.低语，耳语
bush,n.灌木丛
turn around,转身
anybody,pron.任何人
nobody,pron.没有人
reply,vi.答复
strange,adj.奇怪的，陌生的
leave,vt.离开
quickly,adv.迅速地，飞快地
on one's/the way,在…路上
happen,vi.发生
everything,pron.每件事
wonder,vi.&vt.琢磨，想知道
carefully,adv.小心低,认真地,仔细地
search,vt.&vi.搜查，搜寻，搜索
himself,pron.他自己
say to oneself,自言自语
weak,adj.虚弱的，无力的
miaow,vi. （猫叫声）喵
pick,vt.拾起
pick up,捡起，拾起
surprised,adj.吃惊的，惊讶的
later,adv.随后，后来
run away,逃离，抛开
somebody,pron.某人，有人
ago,adv.以前
the day before yesterday,前天
centimeter,(=cm) n.<英>厘米，公分
dodo,n.渡渡鸟
snake,n.蛇
camel,n.骆驼
ant,n.蚂蚁
little,pron.&det.不多的，少数的
dry,adj.干的，干燥的
without,prep.没有人
be afraid of,害怕…
not ... any more,再也不，不再
hear of,听说
the other day,那天，前几天
at the same time,同时
3D,n.三维立体
chalk,n.粉笔
sandwich,n.三明治
all over the world,遍及世界
by,prep.不迟于，在…之前
per,prep.每，每一
at least,至少
as ... as,像…一样
inch,n.英寸
ask for,请求，要
outdoor,adj.户外的，
hurry,vi.匆忙，赶紧
hurry up,赶快
complain,vi&vt.抱怨
that,adv.那么，那样
camping,n.野营
cycling,n.骑自行车运动
riding,n.骑马
skating,n.溜冰
ride,vt.骑（马，自行车等）
outside,adv.在外面
rabbit,n.兔，家兔
hole,n.洞
by,prep.在…旁边，靠近
pass,vi&vt.经过，通过
by,prep.在…旁边，靠近
dear,excl.哎呀，天哪
watch,n.手表
stand up,站起身，起立
get away,逃脱，离开
fall,vi.落下，掉落，倒
hit,vt.到达，击中，撞
herself,pron.她自己
alone,adj.独自，单独
low,adj.低的，矮的
locked,adj.锁上的
notice,vt.注意，察觉
into,prep.到…里面
side,n.侧，一边
through,prep.穿过，通过
go through,通过
surprise,vt.使惊奇，使措手不及
put up,搭，竖立
tent,n.帐篷
wood,n.木头，木材
period,n.一段时间，时期
dynasty,n.朝代，王朝
century,n.世纪，百年
Italian,adj.意大利的
province,n.省
from then on,从那时起
excited,adj.激动的
mobile phone,n.手机
a little,一点，少许
sweet,adj.甜的
become,linking v.开始变得，变成
enough,adv.足够地，充分地
decide,vi.&vt.决定
enter,vt.进入
towards,prep.向，朝
forget,vi.&vt.忘记
too ... To ...,太…而不能…
reach,vt.伸手（脚）够到
climb,vi.&vt.爬，攀登
fail,vi.&vt.失败
ability,n.能力
believe,vt.相信
believe it or not,信不信由你
look out,当心
seat,n.座位
send,vt.发送，邮寄
even,adv.甚至
able,adj.能，能够
pay,vi.&vt.付费
pay for,为某物付钱
notebook,n.笔记本
raise,vt.募集
brave,adj.勇敢的
save,vt.救，救助
save ... from,从…中救出…
smoke,n.烟，烟雾
next door,adv. 在隔壁
badly,adv.严重地，厉害地
hurt,adj.受伤的
could,modal v.可以，能，会
pour,vt.倾倒
protect,vt.保护
rush,vi.冲，奔
